"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","CPIFORECAST","TOT","AGRWTH","Q","2019-Q4",1.38406194586811,
"AUT","CPIFORECAST","TOT","AGRWTH","Q","2020-Q1",1.9686629272503,
"AUT","CPIFORECAST","TOT","AGRWTH","Q","2020-Q2",1.04901845562402,
"AUT","CPIFORECAST","TOT","AGRWTH","Q","2020-Q3",1.419567553593,
"AUT","CPIFORECAST","TOT","AGRWTH","Q","2020-Q4",1.12093109138736,
"AUT","CPIFORECAST","TOT","AGRWTH","Q","2021-Q1",1.47808779077042,
"AUT","CPIFORECAST","TOT","AGRWTH","Q","2021-Q2",2.56468624683827,
"AUT","CPIFORECAST","TOT","AGRWTH","Q","2021-Q3",3.065306548124,
"AUT","CPIFORECAST","TOT","AGRWTH","Q","2021-Q4",3.91769701517789,
"AUT","CPIFORECAST","TOT","AGRWTH","Q","2022-Q1",5.51748478806068,
"AUT","CPIFORECAST","TOT","AGRWTH","Q","2022-Q2",7.86400129797347,
"AUT","CPIFORECAST","TOT","AGRWTH","Q","2022-Q3",9.85972504731887,
"AUT","CPIFORECAST","TOT","AGRWTH","Q","2022-Q4",10.7137688448598,
"AUT","CPIFORECAST","TOT","AGRWTH","Q","2023-Q1",9.5001977886519,
"AUT","CPIFORECAST","TOT","AGRWTH","Q","2023-Q2",7.52660510962764,
"AUT","CPIFORECAST","TOT","AGRWTH","Q","2023-Q3",5.55959783599992,
"AUT","CPIFORECAST","TOT","AGRWTH","Q","2023-Q4",4.57644471889995,
"AUT","CPIFORECAST","TOT","AGRWTH","Q","2024-Q1",4.26643549542492,
"AUT","CPIFORECAST","TOT","AGRWTH","Q","2024-Q2",3.85411147962492,
"AUT","CPIFORECAST","TOT","AGRWTH","Q","2024-Q3",3.44321489612498,
"AUT","CPIFORECAST","TOT","AGRWTH","Q","2024-Q4",2.98255733349998,
"BEL","CPIFORECAST","TOT","AGRWTH","Q","2019-Q4",0.495285152658757,
"BEL","CPIFORECAST","TOT","AGRWTH","Q","2020-Q1",0.907732246623023,
"BEL","CPIFORECAST","TOT","AGRWTH","Q","2020-Q2",0.0244363743602891,
"BEL","CPIFORECAST","TOT","AGRWTH","Q","2020-Q3",0.447714029218754,
"BEL","CPIFORECAST","TOT","AGRWTH","Q","2020-Q4",0.333332316900389,
"BEL","CPIFORECAST","TOT","AGRWTH","Q","2021-Q1",0.813759987752779,
"BEL","CPIFORECAST","TOT","AGRWTH","Q","2021-Q2",2.39231806745795,
"BEL","CPIFORECAST","TOT","AGRWTH","Q","2021-Q3",3.30694279794512,
"BEL","CPIFORECAST","TOT","AGRWTH","Q","2021-Q4",6.36904277074183,
"BEL","CPIFORECAST","TOT","AGRWTH","Q","2022-Q1",9.08504687108906,
"BEL","CPIFORECAST","TOT","AGRWTH","Q","2022-Q2",9.95049493243218,
"BEL","CPIFORECAST","TOT","AGRWTH","Q","2022-Q3",10.987845611213,
"BEL","CPIFORECAST","TOT","AGRWTH","Q","2022-Q4",9.59364942438752,
"BEL","CPIFORECAST","TOT","AGRWTH","Q","2023-Q1",7.74906246949769,
"BEL","CPIFORECAST","TOT","AGRWTH","Q","2023-Q2",7.09679503853566,
"BEL","CPIFORECAST","TOT","AGRWTH","Q","2023-Q3",6.03137554100001,
"BEL","CPIFORECAST","TOT","AGRWTH","Q","2023-Q4",5.46837708679998,
"BEL","CPIFORECAST","TOT","AGRWTH","Q","2024-Q1",4.90726453875202,
"BEL","CPIFORECAST","TOT","AGRWTH","Q","2024-Q2",4.65896332090879,
"BEL","CPIFORECAST","TOT","AGRWTH","Q","2024-Q3",3.87376280635904,
"BEL","CPIFORECAST","TOT","AGRWTH","Q","2024-Q4",3.05230165328388,
