,Rank,Country,2019,2020,2021,2022,2023,2024,2025,2026
0,1,United States,21372.6,20893.75,22939.58,24796.076,25938.159,26980.364,28035.085,29102.501
1,2,China,14340.6,14866.741,16862.979,18463.13,19993.495,21594.809,23266.926,24996.04
2,3,Japan,5135.896,5045.101,5103.11,5383.682,5735.342,5958.651,6161.841,6344.454
3,4,Germany,3888.756,3843.335,4230.172,4557.35,4774.082,4985.991,5194.802,5406.142
4,5,United Kingdom,2833.301,2709.678,3108.416,3442.205,3582.338,3761.685,3959.37,4161.703
5,6,India,2870.504,2660.244,2946.061,3250.078,3515.188,3791.005,4084.694,4393.812
6,7,France,2728.834,2624.416,2940.428,3140.031,3281.714,3415.953,3543.562,3668.236
7,8,Italy,2005.135,1884.935,2120.232,2272.269,2369.654,2453.016,2537.659,2618.242
8,9,Canada,1741.576,1644.037,2015.983,2189.786,2306.066,2413.394,2520.113,2630.942
9,10,South Korea,1651.423,1638.258,1823.852,1907.661,2012.1,2115.032,2217.588,2316.211
10,11,Brazil,1877.822,1444.718,1645.837,1810.612,1958.406,2120.208,2255.673,2387.808
11,12,Russia,1690.05,1478.571,1647.568,1703.527,1753.94,1813.296,1876.468,1943.775
12,13,Australia,1392.328,1359.372,1610.556,1677.451,1772.047,1864.875,1957.353,2051.564
13,14,Spain,1393.2,1280.459,1439.958,1570.91,1659.884,1742.699,1819.731,1893.262
14,15,Mexico,1269.432,1073.915,1285.518,1371.635,1446.784,1518.856,1591.396,1665.558
15,16,Indonesia,1120.042,1059.638,1150.245,1247.352,1356.339,1457.354,1561.848,1672.519
16,17,Iran,581.252,835.351,1081.383,1136.683,1189.096,1244.879,1303.397,1364.21
17,18,Netherlands,910.295,913.134,1007.562,1070.754,1128.019,1182.75,1237.823,1290.764
18,19,Saudi Arabia,792.966,700.118,842.588,876.148,899.11,928.813,963.152,1006.084
19,20,Switzerland,732.492,751.877,810.83,862.819,897.979,945.739,986.27,1038.791
20,21,Taiwan,612.168,668.156,785.589,850.528,899.873,953.314,999.548,1048.518
21,22,Turkey,760.516,719.919,795.952,844.534,946.01,1060.673,1190.495,1333.772
22,23,Poland,597.194,595.916,655.332,720.35,776.332,831.415,891.7,954.582
23,24,Sweden,533.88,541.064,622.365,660.918,711.241,747.591,792.47,837.192
24,25,Belgium,533.313,514.92,581.848,619.16,650.836,680.048,708.703,736.648
25,26,Thailand,544.21,501.712,546.223,585.586,617.041,654.644,694.098,734.757
26,27,Nigeria,448.12,429.423,480.482,555.346,635.744,717.41,812.96,921.584
27,28,Ireland,399.165,425.549,516.253,550.518,590.053,628.034,668.344,710.49
28,29,Austria,445.125,432.524,481.209,520.343,545.757,574.923,614.113,649.508
29,30,Israel,397.935,407.101,467.532,501.409,529.324,556.716,584.148,611.862
30,31,Argentina,451.815,389.064,455.172,483.765,476.485,488.269,511.523,536.229
31,32,Norway,405.51,362.522,445.507,458.398,473.816,486.24,497.549,509.193
32,33,Egypt,302.335,363.245,396.328,438.348,476.362,515.187,557.397,605.478
33,34,South Africa,387.849,335.344,415.315,435.212,453.604,471.944,490.527,532.92
34,35,United Arab Emirates,417.216,358.869,410.158,427.93,443.251,460.524,480.027,501.814
35,36,Vietnam,327.873,343.114,368.002,415.493,461.023,512.99,570.036,630.465
36,37,Malaysia,365.279,337.008,371.114,415.375,458.209,495.059,534.163,575.911
37,38,Denmark,347.561,356.085,396.666,414.55,436.621,460.117,484.377,508.764
38,39,Philippines,376.823,361.489,385.737,406.107,438.182,471.806,506.66,544.175
39,40,Singapore,374.39,339.981,378.645,396.995,418.39,440.071,461.509,483.455
40,41,Bangladesh,302.397,323.057,355.689,390.608,429.417,470.832,516.242,565.502
41,42,Hong Kong,363.016,346.584,369.722,389.977,409.945,430.43,452.098,475.283
42,43,Chile,279.338,252.821,331.25,352.664,374.228,394.697,415.88,438.12
43,44,Colombia,323.375,271.554,300.791,319.29,336.247,354.264,373.374,393.684
44,45,Romania,249.695,248.716,287.279,314.876,345.319,372.625,401.438,430.219
45,46,Finland,268.812,269.557,296.016,314.538,329.679,345.687,363.553,378.43
46,47,Czech Republic,252.498,245.349,276.914,302.061,324.563,345.949,367.858,387.437
47,48,Pakistan,276.942,261.726,280.432,282.325,288.454,293.443,294.432,299.432
