"DateTime";"Credit Derivatives";"Interest rate";"Total (all risk categories)";"Foreign exchange"
"1998-Jun-30";108114;48099769,278;72106521,767;22043556,766
"1998-Dec-31";120363,963;56395461,167;80276622,053;21712562,055
"1999-Jun-30";122078,716;60543183,247;81420274,613;18653617,98
"1999-Dec-31";132178,674;67098028,343;88156431,705;18409201,025
"2000-Jun-30";140880,076;71593072,621;93959822,418;19826645,256
"2000-Dec-31";142665,868;72230642,669;95150854,675;20052968,281
"2001-Jun-30";694816,5;75812642,868;99648589,782;20424594,616
"2001-Dec-31";774375,894;86870705,376;111058769,924;20664827,165
"2002-Jun-30";888126,96;100624216,068;127372621,566;22560291,006
"2002-Dec-31";986726,029;113511812,674;141513417,222;23439259,593
"2003-Jun-30";1181698,895;135995732,862;169475866,524;28048119,252
"2003-Dec-31";1373306,839;158488923,707;196955728,31;31421925,477
"2004-Jun-30";4473516;177450313,639;220058626,611;31497111,27
"2004-Dec-31";11653423,494;205573851,705;258632992,242;34577159,325
"2005-Jun-30";15957607,66;221267668,035;282665372,66;36861603,234
"2005-Dec-31";19991885,718;229410027,046;299261553,912;37480067,714
"2006-Jun-30";27925036,311;284233889,906;372513591,563;45744772,241
"2006-Dec-31";37150374,762;315948248,924;418132388,49;48821406,355
"2007-Jun-30";51094785,5;381349563,341;507901623,612;57605710,396
"2007-Dec-31";68065925,226;432404361,816;585925949,645;66575156,625
"2008-Jun-30";68677111,915;503375478,511;672551159,698;74847832,658
"2008-Dec-31";51909655,29;472742021,296;598140957,927;60594667,312
"2009-Jun-30";46064891,328;477072295,844;594546229,211;59221017,605
"2009-Dec-31";42816096,008;490345101,705;603893268,261;59834912,576
"2010-Jun-30";31416350;478091413,544;582681427,952;62960881,395
"2010-Dec-31";31089412,391;492347227,097;601042830,012;67913061,623
"2011-Jun-30";33811119,438;585097236,09;706879371,224;76596806,958
"2011-Dec-31";29910707,478;533312601,45;647806984,778;74285729,987
"2012-Jun-30";28201975,052;525116889,403;641305282,625;77467350,372
"2012-Dec-31";26328937,919;521253247,52;635680964,787;78058618,992
"2013-Jun-30";24844889,967;580374216,039;695878737,783;80901132,873
"2013-Dec-31";21525636,918;600820911,074;710092325,019;78492115,496
"2014-Jun-30";19954475,088;578884120,067;691114351,211;82509736,433
"2014-Dec-31";16846093,586;519607484,72;627786022,538;82062422,101
"2015-Jun-30";14986951,765;446945507,442;551297858,37;79770904,608
"2015-Dec-31";12644469,78;395138206,933;492536173,503;75953418,261
"2016-Jun-30";11994202,871;446461693,403;552942732,027;85866607,253
"2016-Dec-31";10102930,959;385513143,937;482421055,25;78780412,223
"2017-Jun-30";9966828,937;435204895,905;542438685,939;88428960,927
"2017-Dec-31";9577804,221;426648443,534;531911059,868;87116722,714
"2018-Jun-30";8580705,541;481085599,979;594831946,567;95798113,318
"2018-Dec-31";8371984,157;436832334,43;544383322,644;90658491,352
"2019-Jun-30";8417961,149;523959643,871;640352452,69;98561679,589
"2019-Dec-31";8118833,578;448965627,035;558512718,485;92179026,803
"2020-Jun-30";9049901,498;495140882,683;606820679,514;93811329,687
"2020-Dec-31";8649165,951;466494129,14;582055347,48;97549315,958
"2021-Jun-30";9120793,877;488099162,892;609996036,292;102470514,77
"2021-Dec-31";9060897,426;475270505,132;598415952,078;104249353,157
"2022-Jun-30";9541597,07;502585892,641;632238236,583;109586912,553
